"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"778","Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principa… https://t.co/tvgTdg5MtJ",FALSE,0,NA,2020-06-01 11:45:03,TRUE,NA,"1267421899824476161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HariSin26192277",3,FALSE,FALSE,NA,NA
"779","RT @IncKinju: I will vote for @RahulGandhi in 2024

Pass it on.

@akhterzaidi 
@RanjanaINC 
@BoyHindustani 
@GoSlowplz 
@Luv_Datta 
@Troll_…",FALSE,0,NA,2020-06-01 11:45:01,FALSE,NA,"1267421891276558337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SyedHabeebMust3",85,TRUE,FALSE,NA,NA
"780","RT @Karnara01928088: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_…",FALSE,0,NA,2020-06-01 11:44:59,FALSE,NA,"1267421884381122561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Devaram80608792",23,TRUE,FALSE,NA,NA
"781","RT @NituSon78001525: #ia2018_waiting
#ia2018_waiting 
@RajCMO 
@ashokgehlot51 
@RahulGandhi @DoITCRaj @RSMSSB1 
Clear Information assistant…",FALSE,0,NA,2020-06-01 11:44:56,FALSE,NA,"1267421869998735360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Praveen04950348",11,TRUE,FALSE,NA,NA
"782","A tribute by @Zarif_Hosain’s team to @srinivasiyc and his @IYC team. Their dedication and hard work and incompetenc… https://t.co/ym4sGIAcrm",FALSE,38,NA,2020-06-01 11:44:49,TRUE,NA,"1267421840751751169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrMdJawaid1",13,FALSE,FALSE,NA,NA
"783","RT @iMac_too: Who's funding him, Pappu ji @RahulGandhi?",FALSE,0,NA,2020-06-01 11:44:48,FALSE,NA,"1267421839602651144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samir_patil",106,TRUE,FALSE,NA,NA
"784","RT @jitengajaria: ooks like @RahulGandhi has told the ecosystem that its only @OfficeofUT &amp; @AUThackeray govt in Maharashtra. Finally @ndtv…",FALSE,0,NA,2020-06-01 11:44:46,FALSE,NA,"1267421828429033480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajivnayan7",24,TRUE,FALSE,NA,NA
"785","RT @gorishankarIND: Two words that best describe this govt: #JhootAndJumlaSarkar 

@INCIndia @RahulGandhi
@priyankagandhi @ashokgehlot51
@r…",FALSE,0,NA,2020-06-01 11:44:25,FALSE,NA,"1267421740600360962",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ravimahawarC",5,TRUE,FALSE,NA,NA
"786","RT @Karnara01928088: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_…",FALSE,0,NA,2020-06-01 11:44:24,FALSE,NA,"1267421738905866246",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Payal86042291",23,TRUE,FALSE,NA,NA
"787","RT @Imkgauravmishra: Do you have any idea, she has done a lot for Amethi, before 2019 &amp; post winning. This is the reason your prince clown…",FALSE,0,NA,2020-06-01 11:44:23,FALSE,NA,"1267421733574733827",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avinash_mailme",3,TRUE,FALSE,NA,NA
